Querylength,domain_token_count,path_token_count,avgdomaintokenlen,longdomaintokenlen,avgpathtokenlen,tld,charcompvowels,charcompace,ldl_url,ldl_domain,ldl_path,ldl_filename,ldl_getArg,dld_url,dld_domain,dld_path,dld_filename,dld_getArg,urlLen,domainlength,pathLength,subDirLen,fileNameLen,this.fileExtLen,ArgLen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,executable,isPortEighty,NumberofDotsinURL,ISIpAddressInDomainName,CharacterContinuityRate,LongestVariableValue,URL_DigitCount,host_DigitCount,Directory_DigitCount,File_name_DigitCount,Extension_DigitCount,Query_DigitCount,URL_Letter_Count,host_letter_count,Directory_LetterCount,Filename_LetterCount,Extension_LetterCount,Query_LetterCount,LongestPathTokenLength,Domain_LongestWordLength,Path_LongestWordLength,sub-Directory_LongestWordLength,Arguments_LongestWordLength,URL_sensitiveWord,URLQueries_variable,spcharUrl,delimeter_Domain,delimeter_path,delimeter_Count,NumberRate_URL,NumberRate_Domain,NumberRate_DirectoryName,NumberRate_FileName,NumberRate_Extension,NumberRate_AfterPath,SymbolCount_URL,SymbolCount_Domain,SymbolCount_Directoryname,SymbolCount_FileName,SymbolCount_Extension,SymbolCount_Afterpath,Entropy_URL,Entropy_Domain,Entropy_DirectoryName,Entropy_Filename,Entropy_Extension,Entropy_Afterpath,URL_Type_obf_Type
0,4,5,5.5,14,4.4,4,8,3,0,0,0,0,0,0,0,0,0,0,58,25,26,26,13,1,2,0.44827586,0.03448276,0.08,0.43103448,1.04,0.07692308,0,-1,5,-1,0.6,-1,1,0,0,0,1,-1,47,22,8,13,0,-1,13,14,13,5,-1,0,0,3,0,2,-1,0.0172413793,0,0,0.0666666667,1,-1,8,3,2,1,0,-1,0.7262981948,0.7844933264,0.8948855177,0.8506077525,NaN,-1,Defacement
0,4,5,5.5,14,6,4,12,4,0,0,0,0,0,0,0,0,0,0,66,25,34,34,2,2,2,0.5151515,0.030303031,0.08,0.37878788,1.36,0.05882353,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,56,22,8,13,9,-1,13,14,13,5,-1,0,0,4,0,1,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.6886346083,0.7844933264,0.8147248827,0.8597933881,0,-1,Defacement
0,4,5,5.5,14,5.8,4,12,5,0,0,0,0,0,0,0,0,0,0,65,25,33,33,2,2,2,0.50769234,0.03076923,0.08,0.3846154,1.32,0.060606062,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,55,22,8,13,8,-1,13,14,13,5,-1,0,0,4,0,1,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.6950490046,0.7844933264,0.8147248827,0.8018796874,0,-1,Defacement
0,4,12,5.5,14,5.5,4,32,16,0,0,0,0,0,0,0,0,0,0,109,25,77,77,2,2,2,0.70642203,0.018348623,0.08,0.2293578,3.08,0.025974026,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,92,22,8,13,45,-1,52,14,13,13,-1,0,0,4,0,8,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.6401303456,0.7844933264,0.8147248827,0.6632098748,0,-1,Defacement
0,4,6,5.5,14,7.3333335,4,18,11,0,0,0,0,0,0,0,0,0,0,81,25,49,49,2,2,2,0.60493827,0.024691358,0.08,0.30864197,1.96,0.040816326,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,70,22,8,13,23,-1,24,14,13,13,-1,0,0,4,0,2,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.681307104,0.7844933264,0.8147248827,0.804526073,0,-1,Defacement
0,4,8,5.5,14,6.5,4,22,10,0,0,0,0,0,0,0,0,0,0,91,25,59,59,2,2,2,0.64835167,0.021978023,0.08,0.2747253,2.36,0.033898305,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,78,22,8,13,31,-1,34,14,15,13,-1,0,0,4,0,4,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.666676389,0.7844933264,0.8147248827,0.7556584986,0,-1,Defacement
0,4,5,5.5,14,7.8,4,17,10,0,0,0,0,0,0,0,0,0,0,75,25,43,43,2,2,2,0.5733333,0.026666667,0.08,0.33333334,1.72,0.046511628,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,65,22,8,13,18,-1,18,14,18,5,-1,0,0,4,0,1,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.682439593,0.7844933264,0.8147248827,0.7667187593,0,-1,Defacement
0,4,7,5.5,14,6.285714,4,16,9,0,0,0,0,0,0,0,0,0,0,82,25,50,50,2,2,2,0.6097561,0.024390243,0.08,0.30487806,2,0.04,0,-1,4,-1,0.6,-1,8,0,0,0,8,-1,62,22,8,13,15,-1,25,14,13,13,-1,0,0,4,0,3,-1,0.0975609756,0,0,0.32,NaN,-1,8,3,3,0,0,-1,0.7093964826,0.7844933264,0.8147248827,0.7974978204,0,-1,Defacement
0,4,6,5.5,14,6.5,4,16,10,0,0,0,0,0,0,0,0,0,0,76,25,44,44,2,2,2,0.57894737,0.02631579,0.08,0.32894737,1.76,0.045454547,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,65,22,8,13,18,-1,19,14,13,13,-1,0,0,4,0,2,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.678242425,0.7844933264,0.8147248827,0.7322577904,0,-1,Defacement
0,4,5,5.5,14,3.6,4,7,3,0,0,0,0,0,0,0,0,0,0,54,25,22,22,9,1,2,0.4074074,0.037037037,0.08,0.46296296,0.88,0.09090909,0,-1,5,-1,0.6,-1,1,0,0,0,1,-1,43,22,8,9,0,-1,9,14,9,5,-1,0,0,3,0,2,-1,0.0185185185,0,0,0.0909090909,1,-1,8,3,2,1,0,-1,0.7409496825,0.7844933264,0.8948855177,0.8948855177,NaN,-1,Defacement
0,4,7,5.5,14,5.714286,4,15,7,0,0,0,0,0,0,0,0,0,0,78,25,46,46,2,2,2,0.5897436,0.025641026,0.08,0.32051283,1.84,0.04347826,0,-1,4,-1,0.6,-1,8,0,0,0,8,-1,58,22,8,9,15,-1,25,14,9,9,-1,0,0,4,0,3,-1,0.1025641026,0,0,0.32,NaN,-1,8,3,3,0,0,-1,0.7123784605,0.7844933264,0.8101688176,0.8040000674,0,-1,Defacement
0,4,9,5.5,14,4.7777777,4,17,8,0,0,0,0,0,0,0,0,0,0,83,25,51,51,2,2,2,0.61445785,0.024096385,0.08,0.30120483,2.04,0.039215688,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,69,22,8,9,26,-1,30,14,11,11,-1,0,0,4,0,5,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.6662374647,0.7844933264,0.8101688176,0.7264753736,0,-1,Defacement
0,4,5,5.5,14,3.4,4,7,5,0,0,0,0,0,0,0,0,0,0,53,25,21,21,2,2,2,0.3962264,0.03773585,0.08,0.4716981,0.84,0.0952381,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,43,22,5,3,9,-1,10,14,7,5,-1,0,0,3,0,2,-1,0,0,0,0,NaN,-1,7,3,2,0,0,-1,0.7388356647,0.7844933264,0.8948855177,0.7966576245,0,-1,Defacement
0,4,4,5.5,14,4,4,5,4,0,0,0,0,0,0,0,0,0,0,51,25,19,19,2,2,2,0.37254903,0.039215688,0.08,0.49019608,0.76,0.10526316,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,42,22,5,3,8,-1,8,14,8,5,-1,0,0,3,0,1,-1,0,0,0,0,NaN,-1,7,3,2,0,0,-1,0.7440694286,0.7844933264,0.8948855177,0.9166666667,0,-1,Defacement
0,4,5,5.5,14,4.2,4,9,7,0,0,0,0,0,0,0,0,0,0,57,25,25,25,2,2,2,0.4385965,0.03508772,0.08,0.4385965,1,0.08,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,47,22,5,3,13,-1,14,14,7,5,-1,0,0,3,0,2,-1,0,0,0,0,NaN,-1,7,3,2,0,0,-1,0.7394412794,0.7844933264,0.8948855177,0.8357523477,0,-1,Defacement
0,4,5,5.5,14,3.8,4,7,5,0,0,0,0,0,0,0,0,0,0,55,25,23,23,2,2,2,0.4181818,0.036363635,0.08,0.45454547,0.92,0.08695652,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,45,22,5,3,11,-1,12,14,7,5,-1,0,0,3,0,2,-1,0,0,0,0,NaN,-1,7,3,2,0,0,-1,0.7491170952,0.7844933264,0.8948855177,0.8429809819,0,-1,Defacement
0,4,8,5.5,14,5.625,4,19,12,0,0,0,0,0,0,0,0,0,0,84,25,52,52,2,2,2,0.61904764,0.023809524,0.08,0.29761904,2.08,0.03846154,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,71,22,8,17,20,-1,22,14,11,11,-1,0,0,4,0,4,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.6732350816,0.7844933264,0.7892789782,0.7934442992,0,-1,Defacement
0,4,5,5.5,14,4,4,7,6,0,0,0,0,0,0,0,0,0,0,56,25,24,24,2,2,2,0.42857143,0.035714287,0.08,0.44642857,0.96,0.083333336,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,46,22,5,3,12,-1,13,14,7,5,-1,0,0,3,0,2,-1,0,0,0,0,NaN,-1,7,3,2,0,0,-1,0.7497505962,0.7844933264,0.8948855177,0.8180073353,0,-1,Defacement
0,4,19,5.5,14,5.1578946,4,38,29,0,0,0,0,0,0,0,0,0,0,148,25,116,116,2,2,2,0.7837838,0.013513514,0.08,0.16891892,4.64,0.01724138,0,-1,4,-1,0.6,-1,9,0,0,2,7,-1,115,22,31,7,51,-1,67,14,12,12,-1,0,0,7,0,12,-1,0.0608108108,0,0.0408163265,0.1044776119,NaN,-1,11,3,6,0,0,-1,0.6129709522,0.7844933264,0.7132392097,0.6673155605,0,-1,Defacement
0,4,20,5.5,14,4.95,4,40,36,0,0,0,0,0,0,0,0,0,0,150,25,118,118,2,2,2,0.7866667,0.013333334,0.08,0.16666667,4.72,0.016949153,0,-1,4,-1,0.6,-1,5,0,0,2,3,-1,120,22,31,7,56,-1,69,14,10,10,-1,0,0,7,0,13,-1,0.0333333333,0,0.0408163265,0.0434782609,NaN,-1,11,3,6,0,0,-1,0.6010976866,0.7844933264,0.7132392097,0.6330309514,0,-1,Defacement
0,4,15,5.5,14,5.6,4,33,28,0,0,0,0,0,0,0,0,0,0,130,25,98,98,2,2,2,0.75384617,0.015384615,0.08,0.1923077,3.92,0.020408163,0,-1,4,-1,0.6,-1,5,0,0,2,3,-1,105,22,31,7,41,-1,49,14,16,16,-1,0,0,7,0,8,-1,0.0384615385,0,0.0408163265,0.0612244898,NaN,-1,11,3,6,0,0,-1,0.6320539444,0.7844933264,0.7132392097,0.6768915375,0,-1,Defacement
0,4,29,5.5,14,4.4827585,4,54,39,0,0,0,0,0,0,0,0,0,0,191,25,159,159,2,2,2,0.83246076,0.010471204,0.08,0.13089006,6.36,0.012578616,0,-1,4,-1,0.6,-1,5,0,0,2,3,-1,151,22,31,7,87,-1,110,14,11,11,-1,0,0,7,0,22,-1,0.0261780105,0,0.0408163265,0.0272727273,NaN,-1,11,3,6,0,0,-1,0.5732838228,0.7844933264,0.7132392097,0.5755056245,0,-1,Defacement
0,4,21,5.5,14,5.4761906,4,49,37,0,0,0,0,0,0,0,0,0,0,167,25,135,135,2,2,2,0.8083832,0.011976048,0.08,0.1497006,5.4,0.014814815,0,-1,4,-1,0.6,-1,5,0,0,2,3,-1,136,22,31,7,72,-1,86,14,12,12,-1,0,0,7,0,14,-1,0.0299401198,0,0.0408163265,0.0348837209,NaN,-1,11,3,6,0,0,-1,0.5893725063,0.7844933264,0.7132392097,0.6028836182,0,-1,Defacement
0,4,23,5.5,14,5.2173915,4,50,39,0,0,0,0,0,0,0,0,0,0,174,25,142,142,2,2,2,0.81609195,0.011494253,0.08,0.14367816,5.68,0.014084507,0,-1,4,-1,0.6,-1,5,0,0,2,3,-1,141,22,31,7,77,-1,93,14,11,11,-1,0,0,7,0,16,-1,0.0287356322,0,0.0408163265,0.0322580645,NaN,-1,11,3,6,0,0,-1,0.5883278622,0.7844933264,0.7132392097,0.6036447402,0,-1,Defacement
0,4,26,5.5,14,5.1538463,4,54,36,0,0,0,0,0,0,0,0,0,0,192,25,160,160,2,2,2,0.8333333,0.010416667,0.08,0.13020833,6.4,0.0125,0,-1,4,-1,0.6,-1,9,0,0,2,7,-1,151,22,31,7,87,-1,111,14,12,12,-1,0,0,7,0,19,-1,0.046875,0,0.0408163265,0.0630630631,NaN,-1,11,3,6,0,0,-1,0.5803521066,0.7844933264,0.7132392097,0.6020472051,0,-1,Defacement
0,4,18,5.5,14,5.1666665,4,39,26,0,0,0,0,0,0,0,0,0,0,142,25,110,110,2,2,2,0.7746479,0.014084507,0.08,0.17605634,4.4,0.018181818,0,-1,4,-1,0.6,-1,5,0,0,2,3,-1,114,22,31,7,50,-1,61,14,13,13,-1,0,0,7,0,10,-1,0.0352112676,0,0.0408163265,0.0491803279,NaN,-1,11,3,6,0,0,-1,0.606201071,0.7844933264,0.7132392097,0.6263765428,0,-1,Defacement
0,4,6,5.5,14,5.8333335,4,14,9,0,0,0,0,0,0,0,0,0,0,72,25,40,40,2,2,2,0.5555556,0.027777778,0.08,0.3472222,1.6,0.05,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,61,22,8,8,19,-1,20,14,10,8,-1,0,0,4,0,2,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.7061923905,0.7844933264,0.84370662,0.7655599299,0,-1,Defacement
0,4,9,5.5,14,5.111111,4,22,14,0,0,0,0,0,0,0,0,0,0,86,25,54,54,2,2,2,0.627907,0.023255814,0.08,0.29069766,2.16,0.037037037,0,-1,4,-1,0.6,-1,0,0,0,0,0,-1,72,22,8,20,18,-1,22,14,10,10,-1,0,0,4,0,5,-1,0,0,0,0,NaN,-1,8,3,3,0,0,-1,0.6681962376,0.7844933264,0.7947100196,0.7974309773,0,-1,Defacement
